Tamano;Procesadores;Tiempo Promedio;Desviacion estandar
100;1;5371.67;6102.51
100;10;3561.83;3437.71
100;14;4825.17;4390.54
100;16;4171.07;4734.99
100;2;2946.0;3581.65
100;20;2921.83;3414.73
100;4;2304.53;3364.53
100;8;8990.8;13923.37
1000;1;12559591.27;4470521.11
1000;10;12239284.33;3547755.97
1000;14;8027152.8;3914919.54
1000;16;7217974.67;3941646.11
1000;2;10449242.07;6487558.38
1000;20;5989523.37;2623232.6
1000;4;8934424.27;4255016.83
1000;8;7957547.77;5196716.06
1500;1;58126408.77;23898620.08
1500;10;44388837.27;15219157.86
1500;14;37712761.17;15313140.9
1500;16;31614523.57;11307174.04
1500;2;47928986.43;26651079.08
1500;20;19327108.57;7761326.84
1500;4;40861911.73;26624751.84
1500;8;37393656.1;18570060.57
200;1;112766.3;97433.48
200;10;34096.83;56920.2
200;14;116921.73;77807.72
200;16;73787.7;84674.53
200;2;91117.0;76751.27
200;20;82487.6;80030.42
200;4;90662.17;85364.69
200;8;60266.7;75275.56
2000;1;142798052.2;56626359.99
2000;10;106663267.6;45763554.72
2000;14;87689270.93;27211406.32
2000;16;67397587.43;19268899.3
2000;2;122379850.37;48659106.83
2000;20;63085761.27;11284386.65
2000;4;82300606.3;38302019.09
2000;8;84821928.17;33263884.88
3000;1;392901004.4;134958112.42
3000;10;333574227.63;107074357.28
3000;14;279319735.23;65184067.56
3000;16;262628599.23;90108895.39
3000;2;385452782.93;147155554.25
3000;20;199392168.33;94977970.94
3000;4;337239778.23;145742318.38
3000;8;309119432.0;94469378.35
400;1;638860.13;214148.54
400;10;145315.87;174417.38
400;14;146578.07;174701.14
400;16;117460.77;159848.6
400;2;395212.83;177494.46
400;20;290582.9;324439.61
400;4;293553.9;221482.56
400;8;311863.3;281965.29
4000;1;1344833506.0;571156851.9
4000;10;948233268.57;212968369.54
4000;14;848238423.1;184369621.14
4000;16;686092610.5;134834715.52
4000;2;1034884812.97;409534693.95
4000;20;621513013.57;190163281.82
4000;4;889105487.9;456827876.74
4000;8;921524973.87;354607577.9
5000;1;2175954994.17;932069743.86
5000;10;1606190308.73;310429215.07
5000;14;1357347190.27;247426872.28
5000;16;1231555385.53;303975088.36
5000;2;1614567899.1;428084636.83
5000;20;949135929.7;328577766.85
5000;4;1502334702.4;554243135.74
5000;8;1330646950.17;180877967.04
600;1;6384146.43;1050328.51
600;10;1179301.37;190013.17
600;14;760864.47;109023.56
600;16;723355.4;148325.97
600;2;4017207.03;1456705.25
600;20;478881.9;173341.9
600;4;2608752.93;691315.95
600;8;1623261.0;501198.58
6000;1;3457471544.4;1040698286.28
6000;10;2614184663.17;388304322.98
6000;14;2435412609.93;515478997.19
6000;16;1980015282.9;494859475.82
6000;2;2952219860.4;548400602.27
6000;20;1835213694.17;684104741.57
6000;4;2773641826.8;1097655423.1
6000;8;2302435363.57;313304838.92
7000;1;5190841245.87;1425870543.64
7000;10;3994769835.5;806849334.09
7000;14;3572870424.9;673368489.35
7000;16;3322103309.1;920025094.4
7000;2;4348870685.03;1023481252.17
7000;20;2516641600.77;826552451.48
7000;4;3954547884.57;1343318946.76
7000;8;3542715823.03;586795849.24
800;1;26770713.17;16560215.32
800;10;4686323.1;997971.69
800;14;1652946.83;1194587.03
800;16;1802200.0;1143544.62
800;2;12757486.5;8033756.54
800;20;1902420.43;903706.47
800;4;6650450.83;3812026.05
800;8;2846544.27;1848780.85
8000;1;22387913893.03;8411692206.39
8000;10;14903410556.7;8793466624.82
8000;14;8140842204.37;3250601869.59
8000;16;7078163506.07;3984130384.03
8000;2;10791492242.03;6190665481.65
8000;20;2936720446.77;3681282954.49
8000;4;13584876025.67;9705988072.97
8000;8;6768365409.27;1963418180.5
