Tamano;Procesadores;Tiempo Promedio;Desviación Estándar;Speedup
100;1;677.03;29.51;1.0
100;2;356.8;34.37;1.9
100;4;192.2;26.98;3.52
100;8;111.1;8.47;6.09
100;10;115.77;3.82;5.85
100;14;103.17;9.82;6.56
100;16;100.03;3.38;6.77
100;20;88.1;8.98;7.68
200;1;7876.13;1724.5;1.0
200;2;4507.8;6.47;1.75
200;4;1651.03;181.46;4.77
200;8;854.97;14.5;9.21
200;10;721.0;23.72;10.92
200;14;653.53;13.79;12.05
200;16;595.27;11.55;13.23
200;20;538.77;47.54;14.62
400;1;50720.93;516.03;1.0
400;2;25598.23;89.99;1.98
400;4;13174.5;315.82;3.85
400;8;6852.53;49.71;7.4
400;10;5825.33;162.89;8.71
400;14;4614.87;15.88;10.99
400;16;4171.87;291.78;12.16
400;20;3606.87;128.87;14.06
600;1;171769.57;2274.07;1.0
600;2;87928.0;1142.68;1.95
600;4;45268.83;356.76;3.79
600;8;23666.0;366.45;7.26
600;10;19335.43;366.89;8.88
600;14;14744.67;146.42;11.65
600;16;13242.6;35.42;12.97
600;20;11688.83;2243.86;14.7
800;1;408361.77;768.71;1.0
800;2;208382.57;721.4;1.96
800;4;107135.23;461.9;3.81
800;8;55906.43;226.16;7.3
800;10;66325.73;18866.96;6.16
800;14;63256.53;2996.65;6.46
800;16;55746.13;2678.35;7.33
800;20;51640.37;8541.28;7.91
1000;1;895554.2;93089.76;1.0
1000;2;460206.77;46841.17;1.95
1000;4;221294.83;14611.42;4.05
1000;8;119187.67;11609.45;7.51
1000;10;219686.53;57810.28;4.08
1000;14;313590.27;21992.76;2.86
1000;16;287581.97;5943.28;3.11
1000;20;266533.83;13098.11;3.36
1500;1;3437646.97;228230.82;1.0
1500;2;1716565.37;102409.19;2.0
1500;4;886451.53;61269.74;3.88
1500;8;458686.8;29816.79;7.49
1500;10;507107.5;62688.33;6.78
1500;14;753063.93;67147.32;4.56
1500;16;873873.87;105701.12;3.93
1500;20;1163372.87;7170.44;2.95
2000;1;20575172.67;246589.15;1.0
2000;2;10591100.53;121305.64;1.94
2000;4;5414795.67;69204.61;3.8
2000;8;2862770.93;56452.19;7.19
2000;10;2487065.43;46009.2;8.27
2000;14;2810984.67;50259.04;7.32
2000;16;2928144.63;52108.51;7.03
2000;20;2830550.13;10111.7;7.27
3000;1;87030637.17;1322193.6;1.0
3000;2;45016588.17;1080398.24;1.93
3000;4;22868074.5;435118.37;3.81
3000;8;12162781.47;230904.86;7.16
3000;10;10299093.33;212862.3;8.45
3000;14;10960638.13;190016.08;7.94
3000;16;10952077.4;159134.68;7.95
3000;20;10308730.5;51302.35;8.44
4000;1;254915158.6;4600256.71;1.0
4000;2;131290591.77;2360491.03;1.94
4000;4;66629042.8;1168542.24;3.83
4000;8;35444964.17;602085.4;7.19
4000;10;30267009.1;501561.49;8.42
4000;14;30136257.4;323160.0;8.46
4000;16;29405137.6;376567.57;8.67
4000;20;26471028.13;307671.0;9.63
5000;1;571420859.97;9872622.33;1.0
5000;2;295032536.73;4068843.89;1.94
5000;4;150421992.13;1707725.6;3.8
5000;8;79696876.47;920560.88;7.17
5000;10;67566505.77;615439.35;8.46
5000;14;65079155.23;733129.21;8.78
5000;16;61925124.5;691130.75;9.23
5000;20;55135021.37;291574.52;10.36
6000;1;1108790377.03;26151440.17;1.0
6000;2;575472351.23;6897678.06;1.93
6000;4;292637675.17;3225570.6;3.79
6000;8;155127218.1;1259041.1;7.15
6000;10;131295099.77;951933.44;8.45
6000;14;121333752.1;1690300.9;9.14
6000;16;112867623.8;1228883.21;9.82
6000;20;100389425.17;493927.92;11.04
7000;1;1875900930.6;54602032.67;1.0
7000;2;987584688.33;19851369.17;1.9
7000;4;502926330.87;4464647.43;3.73
7000;8;266580120.3;1438665.91;7.04
7000;10;226515611.07;966027.61;8.28
7000;14;205434256.77;2591649.18;9.13
7000;16;189522120.87;3046471.4;9.9
7000;20;167264006.27;1121668.38;11.22
8000;1;2961397827.07;105585432.93;1.0
8000;2;1528776870.37;36711853.98;1.94
8000;4;788026294.97;9162074.3;3.76
8000;8;417383004.33;1623442.32;7.1
8000;10;353529224.67;1080088.41;8.38
8000;14;320653142.4;2789925.67;9.24
8000;16;299593635.6;4485968.1;9.88
8000;20;260461079.5;1660842.45;11.37
