Tamano;Procesadores;Tiempo Promedio;Desviación Estándar;Speedup
100;1;617.0;98.58;1.0
100;2;378.6;84.05;1.63
100;4;329.4;110.35;1.87
100;8;239.03;173.79;2.58
100;10;245.23;160.02;2.52
100;14;265.57;334.71;2.32
100;16;439.67;383.62;1.4
200;1;5405.0;484.62;1.0
200;2;3001.0;518.84;1.8
200;4;2354.7;529.02;2.3
200;8;1588.5;327.56;3.4
200;10;1358.8;375.48;3.98
200;14;1265.8;483.78;4.27
200;16;1553.77;1381.07;3.48
400;1;41544.23;1116.67;1.0
400;2;22589.87;2589.99;1.84
400;4;14900.93;1437.27;2.79
400;8;9175.7;655.25;4.53
400;10;8012.03;1382.33;5.19
400;14;6293.6;935.09;6.6
400;16;5838.13;1261.77;7.12
600;1;140279.57;2566.94;1.0
600;2;79248.23;5598.57;1.77
600;4;48110.03;4351.63;2.92
600;8;28235.7;1266.06;4.97
600;10;23918.83;1141.54;5.86
600;14;20030.63;1493.13;7.0
600;16;19057.03;3189.93;7.36
800;1;333636.67;3089.92;1.0
800;2;184836.5;8884.47;1.81
800;4;109238.27;5403.68;3.05
800;8;63633.67;2159.39;5.24
800;10;54565.13;1799.99;6.11
800;14;44252.6;1854.6;7.54
800;16;41613.43;2622.27;8.02
1000;1;653680.97;4130.91;1.0
1000;2;356973.0;10909.43;1.83
1000;4;217201.4;8160.85;3.01
1000;8;123186.2;4179.63;5.31
1000;10;106016.1;2848.41;6.17
1000;14;84704.33;1556.22;7.72
1000;16;78297.63;2897.56;8.35
1500;1;2214931.07;5342.63;1.0
1500;2;1221333.83;22678.12;1.81
1500;4;716572.77;18937.75;3.09
1500;8;404454.87;12574.15;5.48
1500;10;340448.67;9322.4;6.51
1500;14;276775.63;3656.35;8.0
1500;16;258985.97;5342.03;8.55
2000;1;5343799.5;80387.71;1.0
2000;2;2881720.67;36617.93;1.85
2000;4;1683348.6;24549.33;3.17
2000;8;944366.87;20977.88;5.66
2000;10;791807.17;12882.24;6.75
2000;14;645044.23;6423.92;8.28
2000;16;609817.27;10843.31;8.76
3000;1;17914571.67;167569.57;1.0
3000;2;10578393.6;6339883.29;1.69
3000;4;5702693.27;72776.1;3.14
3000;8;3196703.4;31641.23;5.6
3000;10;2675761.93;29977.82;6.7
3000;14;2211842.7;11247.16;8.1
3000;16;2103231.87;10402.53;8.52
4000;1;50247972.13;481925.38;1.0
4000;2;28733399.6;6063578.93;1.75
4000;4;17671289.9;212915.01;2.84
4000;8;12745639.67;6369424.74;3.94
4000;10;10666770.97;87538.87;4.71
4000;14;9620320.2;61037.71;5.22
4000;16;10597733.27;6708565.79;4.74
