Tamano;Procesadores;Valor Promedio;Desviación Estándar;Speedup
100;1;266.27;20.61;1.0
100;2;151.1;9.61;1.76
100;4;92.73;9.4;2.87
100;8;69.33;8.17;3.84
100;10;93.57;8.09;2.85
100;14;97.93;5.36;2.72
100;16;105.6;28.76;2.52
100;20;108.8;7.16;2.45
200;1;2111.03;13.92;1.0
200;2;1121.87;5.75;1.88
200;4;606.6;5.61;3.48
200;8;362.77;7.13;5.82
200;10;514.43;13.35;4.1
200;14;449.3;31.52;4.7
200;16;435.6;36.19;4.85
200;20;508.6;365.48;4.15
400;1;15385.37;471.6;1.0
400;2;7753.33;95.76;1.98
400;4;4199.6;451.35;3.66
400;8;2419.67;446.43;6.36
400;10;2145.33;481.53;7.17
400;14;2637.97;27.0;5.83
400;16;2412.77;46.28;6.38
400;20;2179.97;74.35;7.06
600;1;48231.6;461.66;1.0
600;2;24976.43;208.23;1.93
600;4;13549.4;1855.85;3.56
600;8;7154.33;60.73;6.74
600;10;7479.93;2105.36;6.45
600;14;8331.53;20.74;5.79
600;16;7594.5;54.7;6.35
600;20;6635.9;189.79;7.27
800;1;111362.27;1306.93;1.0
800;2;58223.63;1149.51;1.91
800;4;30631.07;1537.54;3.64
800;8;16707.93;1115.59;6.67
800;10;15938.83;4329.38;6.99
800;14;19019.07;282.39;5.86
800;16;16945.9;47.82;6.57
800;20;14973.93;1139.32;7.44
1000;1;216433.67;2779.75;1.0
1000;2;112857.27;3937.69;1.92
1000;4;58576.07;763.1;3.69
1000;8;32097.63;1965.76;6.74
1000;10;33731.7;9868.7;6.42
1000;14;35848.27;293.02;6.04
1000;16;40426.07;8032.2;5.35
1000;20;34458.8;3117.27;6.28
1500;1;714878.13;2988.08;1.0
1500;2;370174.07;6640.74;1.93
1500;4;194556.07;3355.12;3.67
1500;8;121704.47;4820.31;5.87
1500;10;155052.13;13781.59;4.61
1500;14;134678.3;692.62;5.31
1500;16;123879.27;692.12;5.77
1500;20;108685.47;5581.85;6.58
2000;1;1689377.53;30179.28;1.0
2000;2;863788.63;8853.15;1.96
2000;4;450019.3;7318.51;3.75
2000;8;279308.47;9000.66;6.05
2000;10;295987.3;39500.97;5.71
2000;14;310362.23;942.47;5.44
2000;16;286610.17;1349.52;5.89
2000;20;255108.67;5679.1;6.62
3000;1;5652527.93;76014.26;1.0
3000;2;2881776.17;8603.37;1.96
3000;4;1515490.43;10669.66;3.73
3000;8;924031.93;9584.27;6.12
3000;10;852212.83;39829.63;6.63
3000;14;966697.73;39031.04;5.85
3000;16;947297.53;8634.1;5.97
3000;20;837698.1;4482.63;6.75
4000;1;13333891.3;119926.23;1.0
4000;2;6797076.4;10775.31;1.96
4000;4;3600864.5;43812.45;3.7
4000;8;2200615.6;6052.98;6.06
4000;10;1949857.3;49662.78;6.84
4000;14;2139001.73;43545.81;6.23
4000;16;2158114.6;41572.22;6.18
4000;20;1954175.47;11985.53;6.82
5000;1;25966521.2;142074.72;1.0
5000;2;13274182.77;33600.04;1.96
5000;4;7038848.23;50933.6;3.69
5000;8;4253568.23;20297.42;6.1
5000;10;3721542.07;20318.82;6.98
5000;14;4007013.73;46715.17;6.48
5000;16;4016471.27;57455.76;6.47
5000;20;3763632.83;7376.45;6.9
6000;1;44728945.0;360527.37;1.0
6000;2;22797999.1;109885.26;1.96
6000;4;12047858.3;76057.99;3.71
6000;8;7306850.07;17949.45;6.12
6000;10;6366037.77;31806.7;7.03
6000;14;6775078.37;52423.91;6.6
6000;16;6830699.67;53682.3;6.55
6000;20;6460901.4;20580.81;6.92
7000;1;70910199.83;497590.49;1.0
7000;2;36228214.47;48384.37;1.96
7000;4;19276381.9;173844.33;3.68
7000;8;11614501.87;21457.01;6.11
7000;10;10054250.97;43429.01;7.05
7000;14;10653758.23;41438.67;6.66
7000;16;10757678.27;66668.92;6.59
7000;20;10188619.77;12532.77;6.96
8000;1;105390688.2;448144.06;1.0
8000;2;53730202.8;90298.75;1.96
8000;4;28580997.17;254097.05;3.69
8000;8;17272752.53;43160.22;6.1
8000;10;15275726.8;48049.88;6.9
8000;14;15802528.1;52196.86;6.67
8000;16;15971581.13;91432.54;6.6
8000;20;15187883.6;55396.46;6.94
