Tamano;Procesadores;Valor Promedio;Desviación Estándar;Speedup
100;1;247.77;35.57;1.0
100;2;142.2;19.55;1.74
100;4;126.97;54.84;1.95
100;8;133.13;61.06;1.86
100;10;152.3;75.92;1.63
100;14;185.07;195.01;1.34
100;16;171.67;70.77;1.44
200;1;1583.8;111.57;1.0
200;2;1020.8;114.29;1.55
200;4;755.3;108.8;2.1
200;8;462.27;121.01;3.43
200;10;549.1;121.8;2.88
200;14;643.27;156.02;2.46
200;16;683.97;214.81;2.32
400;1;9641.83;327.34;1.0
400;2;5299.63;338.1;1.82
400;4;3644.27;922.94;2.65
400;8;4113.63;1020.37;2.34
400;10;5041.57;1284.08;1.91
400;14;3845.0;1285.22;2.51
400;16;4181.23;1509.08;2.31
600;1;32980.17;2775.23;1.0
600;2;19194.67;2514.48;1.72
600;4;15430.0;1901.31;2.14
600;8;10788.97;991.49;3.06
600;10;9874.2;1572.49;3.34
600;14;10049.0;2078.47;3.28
600;16;11126.33;2804.88;2.96
800;1;77519.33;5722.93;1.0
800;2;45416.2;4784.87;1.71
800;4;33996.93;3199.48;2.28
800;8;23937.87;1326.25;3.24
800;10;20870.13;988.7;3.71
800;14;18747.8;2297.25;4.13
800;16;20304.93;2396.31;3.82
1000;1;145807.23;3578.39;1.0
1000;2;86268.93;6221.26;1.69
1000;4;60997.57;5100.8;2.39
1000;8;42848.3;2864.48;3.4
1000;10;39175.67;2370.52;3.72
1000;14;35832.13;2202.64;4.07
1000;16;32024.73;2684.97;4.55
1500;1;480108.63;5935.71;1.0
1500;2;289509.03;14237.33;1.66
1500;4;196439.6;13595.72;2.44
1500;8;138882.03;7393.68;3.46
1500;10;124879.83;5642.96;3.84
1500;14;106365.43;2284.94;4.51
1500;16;97850.4;2381.67;4.91
2000;1;1145104.73;9550.12;1.0
2000;2;655033.47;24909.54;1.75
2000;4;458263.33;17112.71;2.5
2000;8;314755.73;13641.28;3.64
2000;10;281468.03;10674.49;4.07
2000;14;247701.23;5658.17;4.62
2000;16;229344.87;3540.49;4.99
3000;1;4221204.87;110568.98;1.0
3000;2;2395144.73;49413.24;1.76
3000;4;1577479.33;41803.42;2.68
3000;8;1036414.3;21454.11;4.07
3000;10;897659.37;20571.73;4.7
3000;14;785758.57;10840.86;5.37
3000;16;756902.77;7561.06;5.58
4000;1;10460655.73;132684.77;1.0
4000;2;5680360.73;134461.89;1.84
4000;4;3741704.63;58504.28;2.8
4000;8;2400288.73;38482.85;4.36
4000;10;2072866.87;31907.66;5.05
4000;14;1827307.67;16951.77;5.72
4000;16;1768764.0;8697.64;5.91
